realization,region,HSf3_year_ref_time-mean,ci_name,ci_frequency,standard_name,units,mid_month
nan_GERICS_nan_nan_nan_nan_year_HSf3,05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,0.79489213,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05117_Mülheim an der Ruhr,0.76767594,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,0.85366404,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05119_Oberhausen,0.86533314,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05120_05124_05122_05378_05374_Region_um_Remscheid,0.43004408,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05120_Remscheid,0.39900017,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05122_05158_05124_05378_05120_Region_um_Solingen,0.55855507,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05122_Solingen,0.55475694,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,0.45230573,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05124_Wuppertal,0.4536149,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05154_Kleve,0.5806766,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05158_Mettmann,0.6632016,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05162_Rhein-Kreis Neuss,0.8497375,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05166_Viersen,0.6719191,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05170_Wesel,0.8473721,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05314_05382_Region_um_Bonn,0.653766,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05314_Bonn,0.7776022,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05315_Köln,0.86677223,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05316_05315_05378_05158_Region_um_Leverkusen,0.68527263,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05316_Leverkusen,0.7574006,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05334_Städteregion Aachen,0.290814,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05358_Düren,0.5334781,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05362_Rhein-Erft-Kreis,0.76380223,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05366_Euskirchen,0.28934076,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05370_Heinsberg,0.57037437,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05374_Oberbergischer Kreis,0.36769712,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05378_Rheinisch-Bergischer Kreis,0.5295242,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05382_Rhein-Sieg-Kreis,0.63825125,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05512_05119_05513_05113_05170_05562_Region_um_Bottrop,0.73443836,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05512_Bottrop,0.74086094,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05513_05113_05916_05911_05562_05512_Region_um_Gelsenkirchen,0.63175595,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05513_Gelsenkirchen,0.68438303,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05515_05566_05558_05570_Region_um_Münster,0.568422,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05515_Münster,0.58193284,HSf3,year,hot_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_HSf3,05554_Borken,0.49068698,HSf3,year,hot_spell_frequency,,7
