region,SU30_year_4C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
09180_Garmisch-Partenkirchen,0.8040968179702759,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09181_Landsberg am Lech,2.769308567047119,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09182_Miesbach,1.2813371419906616,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09183_Mühldorf a. Inn,3.6111278533935547,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09184_München,3.5241966247558594,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09185_Neuburg-Schrobenhausen,4.691985130310059,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09186_Pfaffenhofen a.d. Ilm,4.567030906677246,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09187_Rosenheim,2.619236946105957,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09188_Starnberg,2.4397964477539062,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09189_Traunstein,2.113943576812744,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09190_Weilheim-Schongau,2.3649020195007324,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09261_Landshut,4.207356929779053,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09262_Passau,2.9204964637756348,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09263_Straubing,4.347226142883301,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09271_Deggendorf,3.4265236854553223,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09272_Freyung-Grafenau,0.7106682658195496,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09273_Kelheim,3.964280366897583,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09274_Landshut,4.058810710906982,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09275_Passau,3.20460844039917,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
