region,SU30_year_1.5C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
05566_Steinfurt,1.6780853271484375,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05570_Warendorf,1.8452138900756836,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05711_Bielefeld,1.7137019634246826,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05754_Gütersloh,1.8104737997055054,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05758_Herford,1.4329440593719482,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05762_Höxter,1.2657990455627441,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05766_Lippe,1.1786117553710938,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05770_Minden-Lübbecke,1.5050444602966309,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05774_Paderborn,1.2907297611236572,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05911_Bochum,2.1756200790405273,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05913_Dortmund,2.034790515899658,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05914_Hagen,1.4062057733535767,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05915_Hamm,1.9466593265533447,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05916_Herne,2.3578360080718994,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05954_Ennepe-Ruhr-Kreis,1.4820510149002075,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05958_Hochsauerlandkreis,0.6469100713729858,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05962_Märkischer Kreis,1.0531202554702759,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05966_Olpe,0.9405609965324402,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05970_Siegen-Wittgenstein,0.8698323369026184,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05974_Soest,1.4771337509155273,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05978_Unna,1.9133214950561523,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06411_Darmstadt,3.4958667755126953,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06412_Frankfurt am Main,4.038686752319336,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06413_Offenbach am Main,4.313274383544922,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06414_Wiesbaden,3.2791433334350586,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06431_Bergstraße,3.4564876556396484,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
