region,SU30_year_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
05562_Recklinghausen,24.045520782470703,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05566_Steinfurt,22.24329948425293,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05570_Warendorf,24.914369583129883,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05711_Bielefeld,23.42041015625,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05754_Gütersloh,24.73468780517578,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05758_Herford,23.859363555908203,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05762_Höxter,23.638938903808594,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05766_Lippe,23.026716232299805,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05770_Minden-Lübbecke,24.251846313476562,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05774_Paderborn,22.687175750732422,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05911_Bochum,23.364295959472656,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05913_Dortmund,24.16033172607422,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05914_Hagen,20.936058044433594,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05915_Hamm,25.553775787353516,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05916_Herne,24.20884895324707,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05954_Ennepe-Ruhr-Kreis,21.216140747070312,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05958_Hochsauerlandkreis,17.63265609741211,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05962_Märkischer Kreis,19.180377960205078,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05966_Olpe,18.359792709350586,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05970_Siegen-Wittgenstein,18.64582061767578,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05974_Soest,23.168916702270508,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05978_Unna,24.45785140991211,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06411_Darmstadt,38.173255920410156,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06412_Frankfurt am Main,36.82758712768555,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06413_Offenbach am Main,38.75337219238281,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06414_Wiesbaden,31.40876007080078,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06431_Bergstraße,36.525177001953125,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06432_Darmstadt-Dieburg,36.15248489379883,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06433_Groß-Gerau,39.6139030456543,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06434_Hochtaunuskreis,28.676429748535156,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06435_Main-Kinzig-Kreis,30.047922134399414,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06436_Main-Taunus-Kreis,32.852996826171875,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06437_Odenwaldkreis,29.702735900878906,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06438_Offenbach,37.99977493286133,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06439_Rheingau-Taunus-Kreis,27.836027145385742,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06440_Wetteraukreis,31.12310791015625,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06531_Gießen,29.538684844970703,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06532_Lahn-Dill-Kreis,25.138338088989258,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06533_Limburg-Weilburg,27.548683166503906,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06534_Marburg-Biedenkopf,26.277978897094727,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06535_Vogelsbergkreis,26.132007598876953,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06611_Kassel,25.225875854492188,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06631_Fulda,25.561847686767578,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06632_Hersfeld-Rotenburg,27.636816024780273,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06633_Kassel,24.977947235107422,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06634_Schwalm-Eder-Kreis,26.490760803222656,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06635_Waldeck-Frankenberg,21.931440353393555,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06636_Werra-Meißner-Kreis,26.277910232543945,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07111_Koblenz,29.00661849975586,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07131_Ahrweiler,22.60003662109375,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07132_Altenkirchen (Westerwald),22.922470092773438,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07133_Bad Kreuznach,29.3967227935791,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07134_Birkenfeld,23.809741973876953,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07135_Cochem-Zell,25.761930465698242,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07137_Mayen-Koblenz,26.543210983276367,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07138_Neuwied,26.273584365844727,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07140_Rhein-Hunsrück-Kreis,25.418270111083984,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07141_Rhein-Lahn-Kreis,27.409229278564453,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07143_Westerwaldkreis,23.90069580078125,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07211_Trier,28.27701187133789,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07231_Bernkastel-Wittlich,26.017780303955078,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07232_Eifelkreis Bitburg-Prüm,20.999521255493164,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07233_Vulkaneifel,17.825130462646484,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07235_Trier-Saarburg,26.325401306152344,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07311_Frankenthal (Pfalz),42.938140869140625,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07312_Kaiserslautern,29.153547286987305,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07313_Landau in der Pfalz,34.09052658081055,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07314_Ludwigshafen am Rhein,42.8475341796875,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
