region,SU30_year_1.5C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
03403_Oldenburg (Oldb),2.1608777,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03404_Osnabrück,2.640343,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03405_Wilhelmshaven,0.92217547,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03451_Ammerland,2.0465004,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03452_Aurich,1.3574327,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03453_Cloppenburg,2.3035598,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03454_Emsland,2.4174447,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03455_Friesland,1.4695522,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03456_Grafschaft Bentheim,2.6043787,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03457_Leer,1.9025607,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03458_Oldenburg,2.3272126,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03459_Osnabrück,2.6702015,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03460_Vechta,2.5872383,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03461_Wesermarsch,1.8160686,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
03462_Wittmund,1.3889235,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
04011_Bremen,2.4706247,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
04012_Bremerhaven,1.7361286,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05111_Düsseldorf,4.112752,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05112_Duisburg,4.0017557,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05113_Essen,3.5010254,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05114_Krefeld,3.929334,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05116_Mönchengladbach,3.613268,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05117_Mülheim an der Ruhr,3.7057445,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05119_Oberhausen,3.916747,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05120_Remscheid,2.3284273,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05122_Solingen,3.259361,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05124_Wuppertal,2.6442547,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05154_Kleve,3.3295035,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05158_Mettmann,3.611639,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05162_Rhein-Kreis Neuss,4.032929,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05166_Viersen,3.6825135,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05170_Wesel,3.501781,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05314_Bonn,3.8077466,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05315_Köln,4.494347,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05316_Leverkusen,4.0843606,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05334_Städteregion Aachen,2.1162546,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05358_Düren,2.9677715,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05362_Rhein-Erft-Kreis,3.9770517,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05366_Euskirchen,1.9153758,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05370_Heinsberg,3.5326543,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05374_Oberbergischer Kreis,2.3463333,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05378_Rheinisch-Bergischer Kreis,3.3181405,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05382_Rhein-Sieg-Kreis,3.4240859,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05512_Bottrop,3.8104527,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05513_Gelsenkirchen,3.8457012,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05515_Münster,3.2216258,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05554_Borken,2.9741013,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05558_Coesfeld,3.1584291,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05562_Recklinghausen,3.5858746,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05566_Steinfurt,2.8482137,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05570_Warendorf,3.210364,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05711_Bielefeld,2.9214168,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05754_Gütersloh,3.1002612,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05758_Herford,2.7626822,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05762_Höxter,2.4660084,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05766_Lippe,2.4644663,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05770_Minden-Lübbecke,2.8483117,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05774_Paderborn,2.3990057,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05911_Bochum,3.3540812,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05913_Dortmund,3.35084,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05914_Hagen,2.3012955,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05915_Hamm,3.3206954,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05916_Herne,3.7669168,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05954_Ennepe-Ruhr-Kreis,2.4992092,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05958_Hochsauerlandkreis,1.5280082,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05962_Märkischer Kreis,1.9365426,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05966_Olpe,1.792369,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05970_Siegen-Wittgenstein,1.78186,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05974_Soest,2.5555532,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05978_Unna,3.2735732,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06411_Darmstadt,5.533357,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06412_Frankfurt am Main,5.6539865,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06413_Offenbach am Main,5.839483,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06414_Wiesbaden,4.7926426,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06431_Bergstraße,5.0956798,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06432_Darmstadt-Dieburg,5.0400906,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06433_Groß-Gerau,5.943649,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06434_Hochtaunuskreis,3.7259922,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06435_Main-Kinzig-Kreis,3.8457637,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06436_Main-Taunus-Kreis,4.9383383,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06437_Odenwaldkreis,3.715529,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06438_Offenbach,5.7349977,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06439_Rheingau-Taunus-Kreis,3.5231745,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06440_Wetteraukreis,4.2441673,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06531_Gießen,3.7503858,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06532_Lahn-Dill-Kreis,2.9215345,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06533_Limburg-Weilburg,3.4020765,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06534_Marburg-Biedenkopf,3.0363746,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06535_Vogelsbergkreis,2.676385,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06611_Kassel,2.6949878,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06631_Fulda,2.4152632,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06632_Hersfeld-Rotenburg,2.833771,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06633_Kassel,2.6181316,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06634_Schwalm-Eder-Kreis,2.826773,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06635_Waldeck-Frankenberg,2.2222779,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06636_Werra-Meißner-Kreis,2.639886,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07111_Koblenz,3.8148942,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07131_Ahrweiler,2.3425367,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07132_Altenkirchen (Westerwald),2.4624567,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07133_Bad Kreuznach,3.846034,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07134_Birkenfeld,2.5722773,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07135_Cochem-Zell,2.885032,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07137_Mayen-Koblenz,3.1872811,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07138_Neuwied,3.3103151,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07140_Rhein-Hunsrück-Kreis,2.7337532,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07141_Rhein-Lahn-Kreis,3.3124208,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07143_Westerwaldkreis,2.6679277,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07211_Trier,3.3026607,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07231_Bernkastel-Wittlich,2.8363903,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07232_Eifelkreis Bitburg-Prüm,2.2641735,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07233_Vulkaneifel,1.7797523,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07235_Trier-Saarburg,3.0147696,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07311_Frankenthal (Pfalz),6.467805,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07312_Kaiserslautern,3.8063166,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07313_Landau in der Pfalz,5.014246,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07314_Ludwigshafen am Rhein,6.494981,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07315_Mainz,5.380789,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07316_Neustadt an der Weinstraße,5.1297975,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07317_Pirmasens,3.9261065,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07318_Speyer,6.551512,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07319_Worms,6.0703874,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07320_Zweibrücken,4.045874,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07331_Alzey-Worms,5.196631,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07332_Bad Dürkheim,4.791142,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07333_Donnersbergkreis,4.151058,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07334_Germersheim,6.2604146,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07335_Kaiserslautern,3.8316236,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07336_Kusel,3.7666852,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07337_Südliche Weinstraße,5.154906,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07338_Rhein-Pfalz-Kreis,6.4641976,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07339_Mainz-Bingen,4.9153585,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
07340_Südwestpfalz,4.0490704,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08111_Stuttgart,5.12113,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08115_Böblingen,4.0812993,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08116_Esslingen,4.2627563,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08117_Göppingen,3.167977,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08118_Ludwigsburg,5.2622786,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08119_Rems-Murr-Kreis,4.548914,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08121_Heilbronn,5.6455,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08125_Heilbronn,5.2929134,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08126_Hohenlohekreis,4.4379244,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08127_Schwäbisch Hall,3.862692,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08128_Main-Tauber-Kreis,4.2624583,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08135_Heidenheim,3.210234,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08136_Ostalbkreis,3.4123247,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08211_Baden-Baden,3.9063635,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08212_Karlsruhe,6.094355,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08215_Karlsruhe,5.693853,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08216_Rastatt,4.1632338,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08221_Heidelberg,5.6125546,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08222_Mannheim,6.4946375,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08225_Neckar-Odenwald-Kreis,4.290156,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08226_Rhein-Neckar-Kreis,5.4602346,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08231_Pforzheim,3.9670637,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08235_Calw,2.7031357,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08236_Enzkreis,4.334237,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08237_Freudenstadt,2.3989503,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08311_Freiburg im Breisgau,4.299656,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08315_Breisgau-Hochschwarzwald,2.868672,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08316_Emmendingen,4.2406125,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08317_Ortenaukreis,4.4093814,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08325_Rottweil,2.564231,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08326_Schwarzwald-Baar-Kreis,1.8137449,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08327_Tuttlingen,2.1950502,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08335_Konstanz,3.7692466,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08336_Lörrach,3.6920545,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08337_Waldshut,3.0725117,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08415_Reutlingen,2.3128812,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08416_Tübingen,3.939477,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08417_Zollernalbkreis,2.2067344,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08421_Ulm,3.4817162,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08425_Alb-Donau-Kreis,2.9050243,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08426_Biberach,3.0458453,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08435_Bodenseekreis,3.183255,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08436_Ravensburg,2.7258172,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
08437_Sigmaringen,2.5301747,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09161_Ingolstadt,5.090596,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09162_München,4.3869624,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09163_Rosenheim,3.7701283,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09171_Altötting,4.842966,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09172_Berchtesgadener Land,1.5070343,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09173_Bad Tölz-Wolfratshausen,1.5321729,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09174_Dachau,4.1923385,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09175_Ebersberg,3.8144546,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09176_Eichstätt,4.295499,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09177_Erding,4.2562222,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09178_Freising,4.4788666,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09179_Fürstenfeldbruck,3.5712588,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09180_Garmisch-Partenkirchen,0.6548649,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09181_Landsberg am Lech,2.74394,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09182_Miesbach,1.2340807,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09183_Mühldorf a. Inn,4.4854097,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09184_München,3.5870583,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09185_Neuburg-Schrobenhausen,4.666222,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09186_Pfaffenhofen a.d. Ilm,4.570456,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09187_Rosenheim,3.0906756,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09188_Starnberg,2.8164225,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09189_Traunstein,2.7601583,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09190_Weilheim-Schongau,2.1249912,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09261_Landshut,4.6257358,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09262_Passau,5.393981,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09263_Straubing,5.4660134,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09271_Deggendorf,5.0935445,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09272_Freyung-Grafenau,2.407155,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09273_Kelheim,4.650325,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09274_Landshut,4.582211,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09275_Passau,4.955878,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09276_Regen,2.3364446,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09277_Rottal-Inn,4.881395,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09278_Straubing-Bogen,4.8479476,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09279_Dingolfing-Landau,5.0560884,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09361_Amberg,3.9815915,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09362_Regensburg,5.2952867,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09363_Weiden i.d. OPf.,3.5607948,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09371_Amberg-Sulzbach,3.7703028,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09372_Cham,3.491323,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09373_Neumarkt i.d. OPf.,3.7435222,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09374_Neustadt a.d. Waldnaab,3.2782238,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09375_Regensburg,4.7666564,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09376_Schwandorf,4.0435586,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09377_Tirschenreuth,2.5776172,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09461_Bamberg,4.4246736,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09462_Bayreuth,3.2386417,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09463_Coburg,3.865142,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09464_Hof,2.1118476,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09471_Bamberg,4.0876193,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09472_Bayreuth,3.0135078,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09473_Coburg,3.6603694,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09474_Forchheim,3.9258668,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09475_Hof,1.992966,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09476_Kronach,2.5584512,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09477_Kulmbach,3.042229,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09478_Lichtenfels,3.6985292,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09479_Wunsiedel i. Fichtelgebirge,2.1477225,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09561_Ansbach,3.8564017,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09562_Erlangen,4.973717,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09563_Fürth,4.994528,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09564_Nürnberg,5.133196,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09565_Schwabach,4.8256626,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09571_Ansbach,3.8536575,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09572_Erlangen-Höchstadt,4.735824,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09573_Fürth,4.4956436,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
09574_Nürnberger Land,3.8870199,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
