region,SU30_year_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
05358_Düren,0.1686885952949524,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05362_Rhein-Erft-Kreis,0.27829766273498535,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05366_Euskirchen,0.05587007850408554,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05370_Heinsberg,0.008873462677001953,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05374_Oberbergischer Kreis,0.08587324619293213,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05378_Rheinisch-Bergischer Kreis,0.2474541813135147,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05382_Rhein-Sieg-Kreis,0.2491178810596466,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05512_Bottrop,0.06367790699005127,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05513_Gelsenkirchen,-0.059922218322753906,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05515_Münster,0.04757380485534668,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05554_Borken,-0.2498531937599182,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05558_Coesfeld,-0.13692700862884521,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05562_Recklinghausen,-0.08359277248382568,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05566_Steinfurt,0.022711873054504395,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05570_Warendorf,0.13517773151397705,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05711_Bielefeld,0.010272502899169922,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05754_Gütersloh,0.18965166807174683,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05758_Herford,0.060675859451293945,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05762_Höxter,-0.00021886825561523438,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05766_Lippe,-0.0400700569152832,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05770_Minden-Lübbecke,-0.1293421983718872,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05774_Paderborn,0.13223153352737427,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05911_Bochum,-0.04639863967895508,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05913_Dortmund,-0.04981184005737305,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05914_Hagen,0.08143435418605804,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05915_Hamm,0.11997520923614502,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05916_Herne,-0.1637258529663086,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05954_Ennepe-Ruhr-Kreis,0.11883872747421265,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05958_Hochsauerlandkreis,0.018445655703544617,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05962_Märkischer Kreis,0.07339611649513245,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05966_Olpe,0.025914683938026428,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05970_Siegen-Wittgenstein,-0.014531224966049194,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05974_Soest,0.14730066061019897,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
05978_Unna,0.07643139362335205,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06411_Darmstadt,0.31098341941833496,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06412_Frankfurt am Main,0.2735971212387085,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06413_Offenbach am Main,0.24659869074821472,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06414_Wiesbaden,0.24419096112251282,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06431_Bergstraße,0.2801544666290283,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06432_Darmstadt-Dieburg,0.24963660538196564,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06433_Groß-Gerau,0.44857531785964966,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06434_Hochtaunuskreis,0.10191458463668823,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06435_Main-Kinzig-Kreis,0.18867847323417664,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06436_Main-Taunus-Kreis,0.23121359944343567,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06437_Odenwaldkreis,0.15241040289402008,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06438_Offenbach,0.3127691447734833,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06439_Rheingau-Taunus-Kreis,0.09670232236385345,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
06440_Wetteraukreis,0.2122393250465393,SU30,year,days_with_air_temperature_above_or_equal_threshold,days,7
