region,ci_name,ci_frequency,standard_name,units,mid_month,RRm_sem_2C_rcp85_ensemble-robustness
03159_Göttingen,RRm,sem,precipitation,mm day-1,1,1.0
03159_Göttingen,RRm,sem,precipitation,mm day-1,4,1.0
03159_Göttingen,RRm,sem,precipitation,mm day-1,7,
03159_Göttingen,RRm,sem,precipitation,mm day-1,10,1.0
03241_Region Hannover,RRm,sem,precipitation,mm day-1,1,1.0
03241_Region Hannover,RRm,sem,precipitation,mm day-1,4,1.0
03241_Region Hannover,RRm,sem,precipitation,mm day-1,7,
03241_Region Hannover,RRm,sem,precipitation,mm day-1,10,1.0
03251_Diepholz,RRm,sem,precipitation,mm day-1,1,1.0
03251_Diepholz,RRm,sem,precipitation,mm day-1,4,1.0
03251_Diepholz,RRm,sem,precipitation,mm day-1,7,
03251_Diepholz,RRm,sem,precipitation,mm day-1,10,1.0
03252_Hameln-Pyrmont,RRm,sem,precipitation,mm day-1,1,1.0
03252_Hameln-Pyrmont,RRm,sem,precipitation,mm day-1,4,1.0
03252_Hameln-Pyrmont,RRm,sem,precipitation,mm day-1,7,
03252_Hameln-Pyrmont,RRm,sem,precipitation,mm day-1,10,
03254_Hildesheim,RRm,sem,precipitation,mm day-1,1,1.0
03254_Hildesheim,RRm,sem,precipitation,mm day-1,4,1.0
03254_Hildesheim,RRm,sem,precipitation,mm day-1,7,
03254_Hildesheim,RRm,sem,precipitation,mm day-1,10,1.0
03255_Holzminden,RRm,sem,precipitation,mm day-1,1,1.0
03255_Holzminden,RRm,sem,precipitation,mm day-1,4,1.0
03255_Holzminden,RRm,sem,precipitation,mm day-1,7,
03255_Holzminden,RRm,sem,precipitation,mm day-1,10,1.0
03256_Nienburg (Weser),RRm,sem,precipitation,mm day-1,1,1.0
03256_Nienburg (Weser),RRm,sem,precipitation,mm day-1,4,1.0
03256_Nienburg (Weser),RRm,sem,precipitation,mm day-1,7,
03256_Nienburg (Weser),RRm,sem,precipitation,mm day-1,10,1.0
03257_Schaumburg,RRm,sem,precipitation,mm day-1,1,1.0
