region,RRm_sem_4C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
03155_Northeim,-0.2957491874694824,RRm,sem,precipitation,mm day-1,10
03157_Peine,0.011135101318359375,RRm,sem,precipitation,mm day-1,1
03157_Peine,-0.04101705551147461,RRm,sem,precipitation,mm day-1,4
03157_Peine,-0.7761936187744141,RRm,sem,precipitation,mm day-1,7
03157_Peine,-0.3045161962509155,RRm,sem,precipitation,mm day-1,10
03158_Wolfenbüttel,0.03590404987335205,RRm,sem,precipitation,mm day-1,1
03158_Wolfenbüttel,-0.0800483226776123,RRm,sem,precipitation,mm day-1,4
03158_Wolfenbüttel,-0.8493056297302246,RRm,sem,precipitation,mm day-1,7
03158_Wolfenbüttel,-0.3831850290298462,RRm,sem,precipitation,mm day-1,10
03159_Göttingen,-0.055078983306884766,RRm,sem,precipitation,mm day-1,1
03159_Göttingen,-0.01793050765991211,RRm,sem,precipitation,mm day-1,4
03159_Göttingen,-0.7834892272949219,RRm,sem,precipitation,mm day-1,7
03159_Göttingen,-0.37310791015625,RRm,sem,precipitation,mm day-1,10
03241_Region Hannover,-0.032094478607177734,RRm,sem,precipitation,mm day-1,1
03241_Region Hannover,0.04036092758178711,RRm,sem,precipitation,mm day-1,4
03241_Region Hannover,-0.7847623825073242,RRm,sem,precipitation,mm day-1,7
03241_Region Hannover,-0.26504838466644287,RRm,sem,precipitation,mm day-1,10
03251_Diepholz,-0.04794204235076904,RRm,sem,precipitation,mm day-1,1
03251_Diepholz,0.057071805000305176,RRm,sem,precipitation,mm day-1,4
03251_Diepholz,-0.9419183731079102,RRm,sem,precipitation,mm day-1,7
03251_Diepholz,-0.20171844959259033,RRm,sem,precipitation,mm day-1,10
03252_Hameln-Pyrmont,-0.0883791446685791,RRm,sem,precipitation,mm day-1,1
03252_Hameln-Pyrmont,0.03765976428985596,RRm,sem,precipitation,mm day-1,4
03252_Hameln-Pyrmont,-0.8852207660675049,RRm,sem,precipitation,mm day-1,7
03252_Hameln-Pyrmont,-0.2874622344970703,RRm,sem,precipitation,mm day-1,10
03254_Hildesheim,-0.025501608848571777,RRm,sem,precipitation,mm day-1,1
03254_Hildesheim,-0.019648075103759766,RRm,sem,precipitation,mm day-1,4
03254_Hildesheim,-0.6818633079528809,RRm,sem,precipitation,mm day-1,7
03254_Hildesheim,-0.2769758701324463,RRm,sem,precipitation,mm day-1,10
03255_Holzminden,-0.050824880599975586,RRm,sem,precipitation,mm day-1,1
03255_Holzminden,-0.00030481815338134766,RRm,sem,precipitation,mm day-1,4
03255_Holzminden,-0.9320330619812012,RRm,sem,precipitation,mm day-1,7
03255_Holzminden,-0.27768850326538086,RRm,sem,precipitation,mm day-1,10
03256_Nienburg (Weser),-0.04107260704040527,RRm,sem,precipitation,mm day-1,1
03256_Nienburg (Weser),0.04869115352630615,RRm,sem,precipitation,mm day-1,4
03256_Nienburg (Weser),-0.8893332481384277,RRm,sem,precipitation,mm day-1,7
03256_Nienburg (Weser),-0.20892047882080078,RRm,sem,precipitation,mm day-1,10
03257_Schaumburg,-0.11521661281585693,RRm,sem,precipitation,mm day-1,1
03257_Schaumburg,-0.020424723625183105,RRm,sem,precipitation,mm day-1,4
03257_Schaumburg,-1.0041368007659912,RRm,sem,precipitation,mm day-1,7
03257_Schaumburg,-0.24765586853027344,RRm,sem,precipitation,mm day-1,10
03351_Celle,0.004197835922241211,RRm,sem,precipitation,mm day-1,1
03351_Celle,0.03509557247161865,RRm,sem,precipitation,mm day-1,4
03351_Celle,-0.780510425567627,RRm,sem,precipitation,mm day-1,7
03351_Celle,-0.2731126546859741,RRm,sem,precipitation,mm day-1,10
03352_Cuxhaven,-0.005468130111694336,RRm,sem,precipitation,mm day-1,1
03352_Cuxhaven,-0.04057884216308594,RRm,sem,precipitation,mm day-1,4
03352_Cuxhaven,-1.0629832744598389,RRm,sem,precipitation,mm day-1,7
03352_Cuxhaven,-0.37392258644104004,RRm,sem,precipitation,mm day-1,10
03353_Harburg,-0.03405046463012695,RRm,sem,precipitation,mm day-1,1
03353_Harburg,-0.013983726501464844,RRm,sem,precipitation,mm day-1,4
03353_Harburg,-0.9878981113433838,RRm,sem,precipitation,mm day-1,7
03353_Harburg,-0.2545604705810547,RRm,sem,precipitation,mm day-1,10
03354_Lüchow-Dannenberg,-0.00440061092376709,RRm,sem,precipitation,mm day-1,1
03354_Lüchow-Dannenberg,0.02812492847442627,RRm,sem,precipitation,mm day-1,4
03354_Lüchow-Dannenberg,-0.5723118782043457,RRm,sem,precipitation,mm day-1,7
03354_Lüchow-Dannenberg,-0.22367560863494873,RRm,sem,precipitation,mm day-1,10
03355_Lüneburg,-0.0336531400680542,RRm,sem,precipitation,mm day-1,1
03355_Lüneburg,0.024244189262390137,RRm,sem,precipitation,mm day-1,4
03355_Lüneburg,-0.7399230003356934,RRm,sem,precipitation,mm day-1,7
03355_Lüneburg,-0.24247980117797852,RRm,sem,precipitation,mm day-1,10
03356_Osterholz,-0.045905351638793945,RRm,sem,precipitation,mm day-1,1
03356_Osterholz,-0.017341256141662598,RRm,sem,precipitation,mm day-1,4
03356_Osterholz,-1.0299499034881592,RRm,sem,precipitation,mm day-1,7
03356_Osterholz,-0.2919720411300659,RRm,sem,precipitation,mm day-1,10
03357_Rotenburg (Wümme),-0.028061628341674805,RRm,sem,precipitation,mm day-1,1
03357_Rotenburg (Wümme),0.005647540092468262,RRm,sem,precipitation,mm day-1,4
03357_Rotenburg (Wümme),-0.9687638282775879,RRm,sem,precipitation,mm day-1,7
03357_Rotenburg (Wümme),-0.28993821144104004,RRm,sem,precipitation,mm day-1,10
03358_Heidekreis,0.00639796257019043,RRm,sem,precipitation,mm day-1,1
03358_Heidekreis,0.014355778694152832,RRm,sem,precipitation,mm day-1,4
03358_Heidekreis,-0.8543975353240967,RRm,sem,precipitation,mm day-1,7
03358_Heidekreis,-0.25507843494415283,RRm,sem,precipitation,mm day-1,10
03359_Stade,-0.02475595474243164,RRm,sem,precipitation,mm day-1,1
03359_Stade,-0.04304814338684082,RRm,sem,precipitation,mm day-1,4
03359_Stade,-1.0387279987335205,RRm,sem,precipitation,mm day-1,7
03359_Stade,-0.3454277515411377,RRm,sem,precipitation,mm day-1,10
03360_Uelzen,-0.01896357536315918,RRm,sem,precipitation,mm day-1,1
03360_Uelzen,0.013385176658630371,RRm,sem,precipitation,mm day-1,4
