region,RRm_sem_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
03254_Hildesheim,0.4028441905975342,RRm,sem,precipitation,mm day-1,4
03254_Hildesheim,0.6341392993927002,RRm,sem,precipitation,mm day-1,7
03254_Hildesheim,0.4024038314819336,RRm,sem,precipitation,mm day-1,10
03255_Holzminden,0.3126978874206543,RRm,sem,precipitation,mm day-1,1
03255_Holzminden,0.37647414207458496,RRm,sem,precipitation,mm day-1,4
03255_Holzminden,0.6279869079589844,RRm,sem,precipitation,mm day-1,7
03255_Holzminden,0.38331806659698486,RRm,sem,precipitation,mm day-1,10
03256_Nienburg (Weser),0.3519113063812256,RRm,sem,precipitation,mm day-1,1
03256_Nienburg (Weser),0.4258699417114258,RRm,sem,precipitation,mm day-1,4
03256_Nienburg (Weser),0.5247187614440918,RRm,sem,precipitation,mm day-1,7
03256_Nienburg (Weser),0.39333927631378174,RRm,sem,precipitation,mm day-1,10
03257_Schaumburg,0.3749973773956299,RRm,sem,precipitation,mm day-1,1
03257_Schaumburg,0.41995906829833984,RRm,sem,precipitation,mm day-1,4
03257_Schaumburg,0.6477859020233154,RRm,sem,precipitation,mm day-1,7
03257_Schaumburg,0.44365835189819336,RRm,sem,precipitation,mm day-1,10
03351_Celle,0.3668971061706543,RRm,sem,precipitation,mm day-1,1
03351_Celle,0.45353150367736816,RRm,sem,precipitation,mm day-1,4
03351_Celle,0.6180305480957031,RRm,sem,precipitation,mm day-1,7
03351_Celle,0.38120830059051514,RRm,sem,precipitation,mm day-1,10
03352_Cuxhaven,0.42818570137023926,RRm,sem,precipitation,mm day-1,1
03352_Cuxhaven,0.5216653347015381,RRm,sem,precipitation,mm day-1,4
03352_Cuxhaven,0.6549479961395264,RRm,sem,precipitation,mm day-1,7
03352_Cuxhaven,0.850311279296875,RRm,sem,precipitation,mm day-1,10
03353_Harburg,0.3484022617340088,RRm,sem,precipitation,mm day-1,1
03353_Harburg,0.4737410545349121,RRm,sem,precipitation,mm day-1,4
03353_Harburg,0.5594465732574463,RRm,sem,precipitation,mm day-1,7
03353_Harburg,0.3476521968841553,RRm,sem,precipitation,mm day-1,10
03354_Lüchow-Dannenberg,0.343425989151001,RRm,sem,precipitation,mm day-1,1
03354_Lüchow-Dannenberg,0.4005279541015625,RRm,sem,precipitation,mm day-1,4
03354_Lüchow-Dannenberg,0.49567484855651855,RRm,sem,precipitation,mm day-1,7
03354_Lüchow-Dannenberg,0.342116117477417,RRm,sem,precipitation,mm day-1,10
03355_Lüneburg,0.3489360809326172,RRm,sem,precipitation,mm day-1,1
03355_Lüneburg,0.43178820610046387,RRm,sem,precipitation,mm day-1,4
03355_Lüneburg,0.49906182289123535,RRm,sem,precipitation,mm day-1,7
03355_Lüneburg,0.36186790466308594,RRm,sem,precipitation,mm day-1,10
03356_Osterholz,0.3512578010559082,RRm,sem,precipitation,mm day-1,1
03356_Osterholz,0.4952991008758545,RRm,sem,precipitation,mm day-1,4
03356_Osterholz,0.6623930931091309,RRm,sem,precipitation,mm day-1,7
03356_Osterholz,0.34342384338378906,RRm,sem,precipitation,mm day-1,10
03357_Rotenburg (Wümme),0.34442925453186035,RRm,sem,precipitation,mm day-1,1
03357_Rotenburg (Wümme),0.48835086822509766,RRm,sem,precipitation,mm day-1,4
03357_Rotenburg (Wümme),0.6880571842193604,RRm,sem,precipitation,mm day-1,7
03357_Rotenburg (Wümme),0.3740386962890625,RRm,sem,precipitation,mm day-1,10
03358_Heidekreis,0.3355064392089844,RRm,sem,precipitation,mm day-1,1
03358_Heidekreis,0.4758925437927246,RRm,sem,precipitation,mm day-1,4
03358_Heidekreis,0.5982143878936768,RRm,sem,precipitation,mm day-1,7
03358_Heidekreis,0.37444400787353516,RRm,sem,precipitation,mm day-1,10
03359_Stade,0.3532438278198242,RRm,sem,precipitation,mm day-1,1
