region,RRm_sem_2C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
03153_Goslar,0.08417224884033203,RRm,sem,precipitation,mm day-1,10
03154_Helmstedt,0.17765307426452637,RRm,sem,precipitation,mm day-1,1
03154_Helmstedt,0.13675057888031006,RRm,sem,precipitation,mm day-1,4
03154_Helmstedt,0.04526722431182861,RRm,sem,precipitation,mm day-1,7
03154_Helmstedt,0.07591700553894043,RRm,sem,precipitation,mm day-1,10
03155_Northeim,0.2334423065185547,RRm,sem,precipitation,mm day-1,1
03155_Northeim,0.14236140251159668,RRm,sem,precipitation,mm day-1,4
03155_Northeim,0.07337331771850586,RRm,sem,precipitation,mm day-1,7
03155_Northeim,0.14974308013916016,RRm,sem,precipitation,mm day-1,10
03157_Peine,0.17385435104370117,RRm,sem,precipitation,mm day-1,1
03157_Peine,0.1354994773864746,RRm,sem,precipitation,mm day-1,4
03157_Peine,0.05344581604003906,RRm,sem,precipitation,mm day-1,7
03157_Peine,0.10802459716796875,RRm,sem,precipitation,mm day-1,10
03158_Wolfenbüttel,0.16794133186340332,RRm,sem,precipitation,mm day-1,1
03158_Wolfenbüttel,0.14931678771972656,RRm,sem,precipitation,mm day-1,4
03158_Wolfenbüttel,0.08015227317810059,RRm,sem,precipitation,mm day-1,7
03158_Wolfenbüttel,0.10780560970306396,RRm,sem,precipitation,mm day-1,10
03159_Göttingen,0.2313544750213623,RRm,sem,precipitation,mm day-1,1
03159_Göttingen,0.14546871185302734,RRm,sem,precipitation,mm day-1,4
03159_Göttingen,0.05397534370422363,RRm,sem,precipitation,mm day-1,7
03159_Göttingen,0.15054476261138916,RRm,sem,precipitation,mm day-1,10
03241_Region Hannover,0.17111468315124512,RRm,sem,precipitation,mm day-1,1
03241_Region Hannover,0.1491389274597168,RRm,sem,precipitation,mm day-1,4
03241_Region Hannover,0.08239197731018066,RRm,sem,precipitation,mm day-1,7
03241_Region Hannover,0.10037732124328613,RRm,sem,precipitation,mm day-1,10
03251_Diepholz,0.1703784465789795,RRm,sem,precipitation,mm day-1,1
03251_Diepholz,0.14517128467559814,RRm,sem,precipitation,mm day-1,4
03251_Diepholz,0.05243861675262451,RRm,sem,precipitation,mm day-1,7
03251_Diepholz,0.09514641761779785,RRm,sem,precipitation,mm day-1,10
03252_Hameln-Pyrmont,0.1951448917388916,RRm,sem,precipitation,mm day-1,1
03252_Hameln-Pyrmont,0.14634978771209717,RRm,sem,precipitation,mm day-1,4
03252_Hameln-Pyrmont,0.07504558563232422,RRm,sem,precipitation,mm day-1,7
