region,RRm_sem_3C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
03153_Goslar,-0.056876287,RRm,sem,precipitation,mm day-1,7
03153_Goslar,0.10052806,RRm,sem,precipitation,mm day-1,10
03154_Helmstedt,0.25826925,RRm,sem,precipitation,mm day-1,1
03154_Helmstedt,0.18866012,RRm,sem,precipitation,mm day-1,4
03154_Helmstedt,0.02590493,RRm,sem,precipitation,mm day-1,7
03154_Helmstedt,0.11752498,RRm,sem,precipitation,mm day-1,10
03155_Northeim,0.3149218,RRm,sem,precipitation,mm day-1,1
03155_Northeim,0.20907347,RRm,sem,precipitation,mm day-1,4
03155_Northeim,-0.0058119986,RRm,sem,precipitation,mm day-1,7
03155_Northeim,0.13102819,RRm,sem,precipitation,mm day-1,10
03157_Peine,0.26138207,RRm,sem,precipitation,mm day-1,1
03157_Peine,0.18942939,RRm,sem,precipitation,mm day-1,4
03157_Peine,0.029048797,RRm,sem,precipitation,mm day-1,7
03157_Peine,0.1302346,RRm,sem,precipitation,mm day-1,10
03158_Wolfenbüttel,0.25992867,RRm,sem,precipitation,mm day-1,1
03158_Wolfenbüttel,0.1899895,RRm,sem,precipitation,mm day-1,4
03158_Wolfenbüttel,0.04124413,RRm,sem,precipitation,mm day-1,7
03158_Wolfenbüttel,0.123663,RRm,sem,precipitation,mm day-1,10
03159_Göttingen,0.32849368,RRm,sem,precipitation,mm day-1,1
03159_Göttingen,0.23050566,RRm,sem,precipitation,mm day-1,4
03159_Göttingen,-0.02153241,RRm,sem,precipitation,mm day-1,7
03159_Göttingen,0.14212856,RRm,sem,precipitation,mm day-1,10
03241_Region Hannover,0.26492426,RRm,sem,precipitation,mm day-1,1
03241_Region Hannover,0.1814709,RRm,sem,precipitation,mm day-1,4
03241_Region Hannover,0.025498532,RRm,sem,precipitation,mm day-1,7
03241_Region Hannover,0.11910335,RRm,sem,precipitation,mm day-1,10
03251_Diepholz,0.2701617,RRm,sem,precipitation,mm day-1,1
03251_Diepholz,0.19053854,RRm,sem,precipitation,mm day-1,4
03251_Diepholz,-0.029839583,RRm,sem,precipitation,mm day-1,7
03251_Diepholz,0.113088384,RRm,sem,precipitation,mm day-1,10
03252_Hameln-Pyrmont,0.2710201,RRm,sem,precipitation,mm day-1,1
03252_Hameln-Pyrmont,0.1814688,RRm,sem,precipitation,mm day-1,4
03252_Hameln-Pyrmont,-0.0070589217,RRm,sem,precipitation,mm day-1,7
03252_Hameln-Pyrmont,0.108168066,RRm,sem,precipitation,mm day-1,10
03254_Hildesheim,0.2699846,RRm,sem,precipitation,mm day-1,1
03254_Hildesheim,0.18866679,RRm,sem,precipitation,mm day-1,4
03254_Hildesheim,0.03726772,RRm,sem,precipitation,mm day-1,7
03254_Hildesheim,0.124669455,RRm,sem,precipitation,mm day-1,10
03255_Holzminden,0.28765553,RRm,sem,precipitation,mm day-1,1
03255_Holzminden,0.19191334,RRm,sem,precipitation,mm day-1,4
03255_Holzminden,-0.013377081,RRm,sem,precipitation,mm day-1,7
03255_Holzminden,0.109337606,RRm,sem,precipitation,mm day-1,10
03256_Nienburg (Weser),0.26651952,RRm,sem,precipitation,mm day-1,1
03256_Nienburg (Weser),0.18508531,RRm,sem,precipitation,mm day-1,4
03256_Nienburg (Weser),-0.010519007,RRm,sem,precipitation,mm day-1,7
03256_Nienburg (Weser),0.12077009,RRm,sem,precipitation,mm day-1,10
03257_Schaumburg,0.26496938,RRm,sem,precipitation,mm day-1,1
03257_Schaumburg,0.17998902,RRm,sem,precipitation,mm day-1,4
03257_Schaumburg,-0.01587386,RRm,sem,precipitation,mm day-1,7
03257_Schaumburg,0.114275455,RRm,sem,precipitation,mm day-1,10
03351_Celle,0.274586,RRm,sem,precipitation,mm day-1,1
03351_Celle,0.19267173,RRm,sem,precipitation,mm day-1,4
03351_Celle,-0.0056028743,RRm,sem,precipitation,mm day-1,7
03351_Celle,0.12327206,RRm,sem,precipitation,mm day-1,10
03352_Cuxhaven,0.33155262,RRm,sem,precipitation,mm day-1,1
03352_Cuxhaven,0.22329672,RRm,sem,precipitation,mm day-1,4
03352_Cuxhaven,-0.013437849,RRm,sem,precipitation,mm day-1,7
03352_Cuxhaven,0.23045471,RRm,sem,precipitation,mm day-1,10
03353_Harburg,0.25186685,RRm,sem,precipitation,mm day-1,1
03353_Harburg,0.19346742,RRm,sem,precipitation,mm day-1,4
03353_Harburg,-0.021275425,RRm,sem,precipitation,mm day-1,7
03353_Harburg,0.11388769,RRm,sem,precipitation,mm day-1,10
03354_Lüchow-Dannenberg,0.23980826,RRm,sem,precipitation,mm day-1,1
03354_Lüchow-Dannenberg,0.19569,RRm,sem,precipitation,mm day-1,4
03354_Lüchow-Dannenberg,0.01562571,RRm,sem,precipitation,mm day-1,7
03354_Lüchow-Dannenberg,0.108863756,RRm,sem,precipitation,mm day-1,10
03355_Lüneburg,0.2423,RRm,sem,precipitation,mm day-1,1
03355_Lüneburg,0.19494689,RRm,sem,precipitation,mm day-1,4
03355_Lüneburg,0.004732906,RRm,sem,precipitation,mm day-1,7
03355_Lüneburg,0.10903603,RRm,sem,precipitation,mm day-1,10
03356_Osterholz,0.27206558,RRm,sem,precipitation,mm day-1,1
03356_Osterholz,0.19531095,RRm,sem,precipitation,mm day-1,4
03356_Osterholz,-0.027951207,RRm,sem,precipitation,mm day-1,7
03356_Osterholz,0.11775378,RRm,sem,precipitation,mm day-1,10
03357_Rotenburg (Wümme),0.2747389,RRm,sem,precipitation,mm day-1,1
03357_Rotenburg (Wümme),0.19569466,RRm,sem,precipitation,mm day-1,4
03357_Rotenburg (Wümme),-0.022926813,RRm,sem,precipitation,mm day-1,7
03357_Rotenburg (Wümme),0.12790963,RRm,sem,precipitation,mm day-1,10
03358_Heidekreis,0.27529052,RRm,sem,precipitation,mm day-1,1
03358_Heidekreis,0.19199616,RRm,sem,precipitation,mm day-1,4
03358_Heidekreis,-0.017346472,RRm,sem,precipitation,mm day-1,7
03358_Heidekreis,0.12270769,RRm,sem,precipitation,mm day-1,10
03359_Stade,0.29352978,RRm,sem,precipitation,mm day-1,1
03359_Stade,0.20806657,RRm,sem,precipitation,mm day-1,4
03359_Stade,-0.022900678,RRm,sem,precipitation,mm day-1,7
03359_Stade,0.16674386,RRm,sem,precipitation,mm day-1,10
03360_Uelzen,0.24341169,RRm,sem,precipitation,mm day-1,1
03360_Uelzen,0.18994287,RRm,sem,precipitation,mm day-1,4
03360_Uelzen,0.01043047,RRm,sem,precipitation,mm day-1,7
03360_Uelzen,0.10814036,RRm,sem,precipitation,mm day-1,10
