realization,region,TG_year_ref_time-mean,ci_name,ci_frequency,standard_name,units,mid_month
nan_GERICS_nan_nan_nan_nan_year_TG,03462_Wittmund,282.15524,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,04011_03361_03251_03401_03461_03356_03352_04012_Region_um_Bremen,282.3023,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,04011_Bremen,282.3577,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,04012_03352_03461_Region_um_Bremerhaven,282.2702,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,04012_Bremerhaven,282.52838,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05111_05162_05158_05112_Region_um_Düsseldorf,283.6113,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05111_Düsseldorf,283.6995,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05112_05114_05119_05117_05170_05158_05111_Region_um_Duisburg,283.6092,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05112_Duisburg,284.0836,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05113_05119_05117_05513_05512_05158_05911_05954_05562_05513_05916_Region_um_Essen,283.18875,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05113_Essen,283.34363,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05114_05112_05162_05166_05170_Region_um_Krefeld,283.621,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05114_Krefeld,283.8722,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05116_05370_05166_05162_Region_um_Mönchengladbach,283.42523,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05116_Mönchengladbach,283.3731,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05117_05112_05158_05119_05113_Region_um_Mülheim_an_der_Ruhr,283.5333,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05117_Mülheim an der Ruhr,283.676,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05119_05170_05512_05113_05117_05112_Region_um_Oberhausen,283.63342,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05119_Oberhausen,283.79245,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05120_05124_05122_05378_05374_Region_um_Remscheid,282.06897,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05120_Remscheid,282.03903,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05122_05158_05124_05378_05120_Region_um_Solingen,282.7359,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05122_Solingen,282.678,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05124_05122_05120_05158_05954_05374_Region_um_Wuppertal,282.2863,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05124_Wuppertal,282.30533,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05154_Kleve,283.2093,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05158_Mettmann,283.23322,TG,year,air_temperature,K,7
nan_GERICS_nan_nan_nan_nan_year_TG,05162_Rhein-Kreis Neuss,283.65445,TG,year,air_temperature,K,7
