realization,region,DSx5_year_ref_time-mean,ci_name,ci_frequency,standard_name,units,mid_month
nan_GERICS_nan_nan_nan_nan_year_DSx5,05774_Paderborn,17.806702,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,18.721134,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05911_Bochum,18.15981,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,18.769714,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05913_Dortmund,18.865866,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05914_05954_05913_05978_05962_Region_um_Hagen,18.077166,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05914_Hagen,18.309492,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05915_05978_05974_05570_05558_Region_um_Hamm,18.725918,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05915_Hamm,18.931404,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05916_05513_05562_05911_Region_um_Herne,19.053316,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05916_Herne,18.800611,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05954_Ennepe-Ruhr-Kreis,17.980371,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05958_Hochsauerlandkreis,17.133432,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05962_Märkischer Kreis,17.450096,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05966_Olpe,17.301811,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05970_Siegen-Wittgenstein,18.317553,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05974_Soest,17.70148,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,05978_Unna,18.919592,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,06411_06432_06438_Region_um_Darmstadt,21.932226,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,06411_Darmstadt,22.255013,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,21.989326,DSx5,year,dry_spell_duration,days,7
nan_GERICS_nan_nan_nan_nan_year_DSx5,06412_Frankfurt am Main,23.30789,DSx5,year,dry_spell_duration,days,7
