region,DD_sem_4C_rcp85_time-mean_ensemble-diff-mean,ci_name,ci_frequency,standard_name,units,mid_month
05762_Höxter,-0.71768993,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05766_Lippe,-0.2891091,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05770_Minden-Lübbecke,-0.62202483,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05774_Paderborn,-0.6307509,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05911_Bochum,-0.19832261,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05913_Dortmund,-0.37164083,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05914_Hagen,-0.04533222,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05915_Hamm,-0.58667976,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05916_Herne,-0.34494126,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05954_Ennepe-Ruhr-Kreis,0.061332013,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05958_Hochsauerlandkreis,0.007241037,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05962_Märkischer Kreis,0.18826877,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05966_Olpe,0.21495469,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05970_Siegen-Wittgenstein,0.16869535,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05974_Soest,-0.6132109,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05978_Unna,-0.4380226,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06411_Darmstadt,-1.3487395,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06412_Frankfurt am Main,-1.3098806,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06413_Offenbach am Main,-1.4269017,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06414_Wiesbaden,-1.0412277,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06431_Bergstraße,-0.69522613,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06432_Darmstadt-Dieburg,-1.0103498,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06433_Groß-Gerau,-1.700746,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06434_Hochtaunuskreis,-0.42560327,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06435_Main-Kinzig-Kreis,-0.29109764,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06436_Main-Taunus-Kreis,-0.99194133,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06437_Odenwaldkreis,-0.073152915,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06438_Offenbach,-1.3115485,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06439_Rheingau-Taunus-Kreis,-0.66068256,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06440_Wetteraukreis,-0.8676729,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06531_Gießen,-0.87511516,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06532_Lahn-Dill-Kreis,-0.5527479,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06533_Limburg-Weilburg,-0.800602,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06534_Marburg-Biedenkopf,-0.77942824,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06535_Vogelsbergkreis,-0.2978443,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06611_Kassel,-1.1257434,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06631_Fulda,-0.11668348,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06632_Hersfeld-Rotenburg,-0.8628116,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06633_Kassel,-1.0536348,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06634_Schwalm-Eder-Kreis,-0.92940587,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06635_Waldeck-Frankenberg,-0.8125682,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06636_Werra-Meißner-Kreis,-0.6463111,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07111_Koblenz,-1.3670334,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07131_Ahrweiler,-0.83274794,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07132_Altenkirchen (Westerwald),-0.28006124,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07133_Bad Kreuznach,-1.4184806,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07134_Birkenfeld,-0.258495,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07135_Cochem-Zell,-0.89438534,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07137_Mayen-Koblenz,-1.2456901,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07138_Neuwied,-0.7200741,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07140_Rhein-Hunsrück-Kreis,-0.6704171,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07141_Rhein-Lahn-Kreis,-0.94694054,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07143_Westerwaldkreis,-0.32707855,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07211_Trier,-0.3364198,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07231_Bernkastel-Wittlich,-0.38536394,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07232_Eifelkreis Bitburg-Prüm,0.023607412,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07233_Vulkaneifel,-0.097402416,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07235_Trier-Saarburg,-0.04447566,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07311_Frankenthal (Pfalz),-1.8603452,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07312_Kaiserslautern,-0.35058057,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07313_Landau in der Pfalz,-0.75695527,DD,sem,days_with_precipitation_amount_below_threshold,days,1
