region,DD_sem_1.5C_rcp85_time-mean_ensemble-diff-min,ci_name,ci_frequency,standard_name,units,mid_month
09471_Bamberg,-4.593296051025391,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09472_Bayreuth,-3.781383514404297,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09473_Coburg,-4.617191314697266,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09474_Forchheim,-4.177768707275391,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09475_Hof,-3.615325927734375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09476_Kronach,-4.509788513183594,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09477_Kulmbach,-4.880962371826172,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09478_Lichtenfels,-4.7725982666015625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09479_Wunsiedel i. Fichtelgebirge,-3.4269027709960938,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09561_Ansbach,-4.122539520263672,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09562_Erlangen,-4.224983215332031,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09563_Fürth,-4.918590545654297,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09564_Nürnberg,-4.3354949951171875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
09565_Schwabach,-3.7330398559570312,DD,sem,days_with_precipitation_amount_below_threshold,days,1
