region,DD_sem_3C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
05758_Herford,3.7657318115234375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05762_Höxter,3.6532020568847656,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05766_Lippe,4.347698211669922,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05770_Minden-Lübbecke,3.854236602783203,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05774_Paderborn,4.292789459228516,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05911_Bochum,3.7991180419921875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05913_Dortmund,3.2238616943359375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05914_Hagen,4.075824737548828,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05915_Hamm,3.132129669189453,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05916_Herne,3.693157196044922,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05954_Ennepe-Ruhr-Kreis,3.991973876953125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05958_Hochsauerlandkreis,5.309898376464844,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05962_Märkischer Kreis,4.96014404296875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05966_Olpe,5.105442047119141,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05970_Siegen-Wittgenstein,5.200206756591797,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05974_Soest,4.3133087158203125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
05978_Unna,3.474018096923828,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06411_Darmstadt,1.8801994323730469,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06412_Frankfurt am Main,1.8571739196777344,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06413_Offenbach am Main,1.5218009948730469,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06414_Wiesbaden,2.1827163696289062,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06431_Bergstraße,1.9278945922851562,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06432_Darmstadt-Dieburg,1.8827590942382812,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06433_Groß-Gerau,1.0825653076171875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06434_Hochtaunuskreis,3.1534385681152344,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06435_Main-Kinzig-Kreis,2.8213119506835938,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06436_Main-Taunus-Kreis,2.190296173095703,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06437_Odenwaldkreis,3.2852401733398438,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06438_Offenbach,1.3092918395996094,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06439_Rheingau-Taunus-Kreis,2.8484268188476562,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06440_Wetteraukreis,2.5704574584960938,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06531_Gießen,2.9642295837402344,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06532_Lahn-Dill-Kreis,3.7527503967285156,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06533_Limburg-Weilburg,2.77032470703125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06534_Marburg-Biedenkopf,3.193279266357422,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06535_Vogelsbergkreis,3.5100975036621094,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06611_Kassel,2.2763824462890625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06631_Fulda,3.9238967895507812,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06632_Hersfeld-Rotenburg,3.2893638610839844,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06633_Kassel,2.5708465576171875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06634_Schwalm-Eder-Kreis,2.5266380310058594,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06635_Waldeck-Frankenberg,4.099735260009766,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06636_Werra-Meißner-Kreis,3.4986953735351562,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07111_Koblenz,1.4522666931152344,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07131_Ahrweiler,3.3006324768066406,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07132_Altenkirchen (Westerwald),3.6066513061523438,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07133_Bad Kreuznach,2.3436508178710938,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07134_Birkenfeld,2.9253196716308594,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07135_Cochem-Zell,2.6905059814453125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07137_Mayen-Koblenz,2.183635711669922,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07138_Neuwied,2.8363685607910156,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07140_Rhein-Hunsrück-Kreis,3.0992889404296875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07141_Rhein-Lahn-Kreis,3.20947265625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07143_Westerwaldkreis,3.5850181579589844,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07211_Trier,2.3978118896484375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07231_Bernkastel-Wittlich,2.507030487060547,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07232_Eifelkreis Bitburg-Prüm,2.598358154296875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07233_Vulkaneifel,3.746471405029297,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07235_Trier-Saarburg,2.600799560546875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07311_Frankenthal (Pfalz),0.8439750671386719,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07312_Kaiserslautern,2.5382080078125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07313_Landau in der Pfalz,2.6339035034179688,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07314_Ludwigshafen am Rhein,1.041168212890625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07315_Mainz,1.1811141967773438,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07316_Neustadt an der Weinstraße,2.334423065185547,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07317_Pirmasens,2.3341827392578125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07318_Speyer,1.461029052734375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07319_Worms,1.2296905517578125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07320_Zweibrücken,2.6345863342285156,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07331_Alzey-Worms,1.0521392822265625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07332_Bad Dürkheim,1.9771194458007812,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07333_Donnersbergkreis,2.152698516845703,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07334_Germersheim,2.4182357788085938,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07335_Kaiserslautern,2.533679962158203,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07336_Kusel,2.4897117614746094,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07337_Südliche Weinstraße,2.600688934326172,DD,sem,days_with_precipitation_amount_below_threshold,days,1
