region,ci_name,ci_frequency,standard_name,units,mid_month,DD_sem_3C_rcp85_ensemble-robustness
06611_Kassel,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
06631_Fulda,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
06632_Hersfeld-Rotenburg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
06633_Kassel,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
06634_Schwalm-Eder-Kreis,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
06635_Waldeck-Frankenberg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
06636_Werra-Meißner-Kreis,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07111_Koblenz,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07131_Ahrweiler,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07132_Altenkirchen (Westerwald),DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07133_Bad Kreuznach,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07134_Birkenfeld,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07135_Cochem-Zell,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07137_Mayen-Koblenz,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07138_Neuwied,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07140_Rhein-Hunsrück-Kreis,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07141_Rhein-Lahn-Kreis,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07143_Westerwaldkreis,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07211_Trier,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07231_Bernkastel-Wittlich,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07232_Eifelkreis Bitburg-Prüm,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07233_Vulkaneifel,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07235_Trier-Saarburg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07311_Frankenthal (Pfalz),DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07312_Kaiserslautern,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07313_Landau in der Pfalz,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07314_Ludwigshafen am Rhein,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07315_Mainz,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07316_Neustadt an der Weinstraße,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07317_Pirmasens,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07318_Speyer,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07319_Worms,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07320_Zweibrücken,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07331_Alzey-Worms,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07332_Bad Dürkheim,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07333_Donnersbergkreis,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07334_Germersheim,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07335_Kaiserslautern,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07336_Kusel,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07337_Südliche Weinstraße,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07338_Rhein-Pfalz-Kreis,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07339_Mainz-Bingen,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
07340_Südwestpfalz,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08111_Stuttgart,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08115_Böblingen,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08116_Esslingen,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08117_Göppingen,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08118_Ludwigsburg,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08119_Rems-Murr-Kreis,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08121_Heilbronn,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08125_Heilbronn,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08126_Hohenlohekreis,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08127_Schwäbisch Hall,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08128_Main-Tauber-Kreis,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08135_Heidenheim,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08136_Ostalbkreis,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08211_Baden-Baden,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
08212_Karlsruhe,DD,sem,days_with_precipitation_amount_below_threshold,days,1,-1.0
