region,DD_sem_3C_rcp85_time-mean_ensemble-diff-median,ci_name,ci_frequency,standard_name,units,mid_month
06433_Groß-Gerau,-2.3832931518554688,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06434_Hochtaunuskreis,-1.4183235168457031,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06435_Main-Kinzig-Kreis,-1.3944015502929688,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06436_Main-Taunus-Kreis,-1.4884223937988281,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06437_Odenwaldkreis,-1.1830787658691406,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06438_Offenbach,-2.140106201171875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06439_Rheingau-Taunus-Kreis,-1.3816337585449219,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06440_Wetteraukreis,-1.69927978515625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06531_Gießen,-1.545684814453125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06532_Lahn-Dill-Kreis,-1.6203384399414062,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06533_Limburg-Weilburg,-1.5160026550292969,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06534_Marburg-Biedenkopf,-1.703765869140625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06535_Vogelsbergkreis,-1.3934822082519531,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06611_Kassel,-1.9567756652832031,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06631_Fulda,-1.5045318603515625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06632_Hersfeld-Rotenburg,-1.6925277709960938,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06633_Kassel,-1.985931396484375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06634_Schwalm-Eder-Kreis,-1.9050788879394531,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06635_Waldeck-Frankenberg,-1.2661476135253906,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06636_Werra-Meißner-Kreis,-1.7954368591308594,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07111_Koblenz,-2.0447616577148438,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07131_Ahrweiler,-1.4992446899414062,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07132_Altenkirchen (Westerwald),-1.2636642456054688,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07133_Bad Kreuznach,-2.08148193359375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07134_Birkenfeld,-1.1295242309570312,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07135_Cochem-Zell,-1.4627838134765625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07137_Mayen-Koblenz,-1.9664993286132812,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07138_Neuwied,-1.7464981079101562,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07140_Rhein-Hunsrück-Kreis,-1.5758552551269531,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07141_Rhein-Lahn-Kreis,-1.7494239807128906,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07143_Westerwaldkreis,-1.155517578125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07211_Trier,-1.0707740783691406,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07231_Bernkastel-Wittlich,-1.0971145629882812,DD,sem,days_with_precipitation_amount_below_threshold,days,1
