region,DD_sem_1.5C_rcp85_time-mean_ensemble-diff-max,ci_name,ci_frequency,standard_name,units,mid_month
06435_Main-Kinzig-Kreis,6.55084228515625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06436_Main-Taunus-Kreis,6.587863922119141,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06437_Odenwaldkreis,6.5522613525390625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06438_Offenbach,6.085563659667969,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06439_Rheingau-Taunus-Kreis,6.238525390625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06440_Wetteraukreis,5.835346221923828,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06531_Gießen,5.972721099853516,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06532_Lahn-Dill-Kreis,6.132549285888672,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06533_Limburg-Weilburg,6.298614501953125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06534_Marburg-Biedenkopf,6.048896789550781,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06535_Vogelsbergkreis,6.970149993896484,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06611_Kassel,6.860881805419922,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06631_Fulda,6.9917449951171875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06632_Hersfeld-Rotenburg,5.834247589111328,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06633_Kassel,6.8062744140625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06634_Schwalm-Eder-Kreis,6.447002410888672,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06635_Waldeck-Frankenberg,7.034137725830078,DD,sem,days_with_precipitation_amount_below_threshold,days,1
06636_Werra-Meißner-Kreis,6.495334625244141,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07111_Koblenz,5.418769836425781,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07131_Ahrweiler,5.615501403808594,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07132_Altenkirchen (Westerwald),7.658153533935547,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07133_Bad Kreuznach,5.507106781005859,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07134_Birkenfeld,5.474880218505859,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07135_Cochem-Zell,5.829235076904297,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07137_Mayen-Koblenz,5.490119934082031,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07138_Neuwied,6.451816558837891,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07140_Rhein-Hunsrück-Kreis,5.831634521484375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07141_Rhein-Lahn-Kreis,5.8534698486328125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07143_Westerwaldkreis,6.867046356201172,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07211_Trier,5.9810638427734375,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07231_Bernkastel-Wittlich,5.825351715087891,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07232_Eifelkreis Bitburg-Prüm,5.894355773925781,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07233_Vulkaneifel,5.812091827392578,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07235_Trier-Saarburg,5.9589385986328125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07311_Frankenthal (Pfalz),5.350582122802734,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07312_Kaiserslautern,5.649070739746094,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07313_Landau in der Pfalz,5.6103973388671875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07314_Ludwigshafen am Rhein,5.4478912353515625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07315_Mainz,5.473705291748047,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07316_Neustadt an der Weinstraße,4.973426818847656,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07317_Pirmasens,6.572223663330078,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07318_Speyer,5.929798126220703,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07319_Worms,6.049877166748047,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07320_Zweibrücken,7.017162322998047,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07331_Alzey-Worms,5.195228576660156,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07332_Bad Dürkheim,5.114009857177734,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07333_Donnersbergkreis,5.1521453857421875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07334_Germersheim,5.812770843505859,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07335_Kaiserslautern,5.375511169433594,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07336_Kusel,5.615478515625,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07337_Südliche Weinstraße,5.494693756103516,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07338_Rhein-Pfalz-Kreis,5.450958251953125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07339_Mainz-Bingen,5.315097808837891,DD,sem,days_with_precipitation_amount_below_threshold,days,1
07340_Südwestpfalz,6.192737579345703,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08111_Stuttgart,5.924903869628906,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08115_Böblingen,6.370761871337891,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08116_Esslingen,5.455631256103516,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08117_Göppingen,5.793006896972656,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08118_Ludwigsburg,5.476207733154297,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08119_Rems-Murr-Kreis,6.1336212158203125,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08121_Heilbronn,5.865650177001953,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08125_Heilbronn,5.754131317138672,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08126_Hohenlohekreis,6.229167938232422,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08127_Schwäbisch Hall,6.0139617919921875,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08128_Main-Tauber-Kreis,6.053058624267578,DD,sem,days_with_precipitation_amount_below_threshold,days,1
08135_Heidenheim,5.970890045166016,DD,sem,days_with_precipitation_amount_below_threshold,days,1
