realization,region,DSf_year_ref_time-mean,ci_name,ci_frequency,standard_name,units,mid_month
nan_GERICS_nan_nan_nan_nan_year_DSf,05770_Minden-Lübbecke,16.837784,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,05774_Paderborn,15.220577,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,05911_05954_05913_05513_05113_05916_05562_Region_um_Bochum,15.375967,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,05911_Bochum,15.355493,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,05913_05914_05911_05916_05978_05954_05562_Region_um_Dortmund,15.317891,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,05913_Dortmund,15.316961,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,05914_05954_05913_05978_05962_Region_um_Hagen,14.710354,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,05914_Hagen,14.468582,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,05915_05978_05974_05570_05558_Region_um_Hamm,15.542108,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,05915_Hamm,15.714091,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,05916_05513_05562_05911_Region_um_Herne,15.746862,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,05916_Herne,15.328176,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,05954_Ennepe-Ruhr-Kreis,14.57699,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,05958_Hochsauerlandkreis,14.536334,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,05962_Märkischer Kreis,14.303514,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,05966_Olpe,14.315078,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,05970_Siegen-Wittgenstein,14.71991,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,05974_Soest,15.013598,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,05978_Unna,15.381378,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06411_06432_06438_Region_um_Darmstadt,17.150139,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06411_Darmstadt,17.287626,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06412_06413_06436_06434_06440_06435_06438_06433_Region_um_Frankfurt_am_Main,16.829245,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06412_Frankfurt am Main,17.51977,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06413_06438_06435_06412_Region_um_Offenbach_am_Main,16.646496,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06413_Offenbach am Main,17.31619,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06414_07315_07339_06439_06436_06433_Region_um_Wiesbaden,17.252117,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06414_Wiesbaden,16.987537,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06431_Bergstraße,17.263432,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06432_Darmstadt-Dieburg,17.094439,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06433_Groß-Gerau,17.890072,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06434_Hochtaunuskreis,16.586369,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06435_Main-Kinzig-Kreis,16.330685,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06436_06412_06414_06433_06439_06434_Region_um_Main-Taunus-Kreis,17.042444,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06436_Main-Taunus-Kreis,17.101109,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06437_Odenwaldkreis,16.751688,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06438_06432_06411_06433_06413_06435_06412_09671_Region_um_Offenbach,16.863594,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06438_Offenbach,17.20799,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06439_Rheingau-Taunus-Kreis,16.698706,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06440_Wetteraukreis,16.787193,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06531_Gießen,16.918915,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06532_Lahn-Dill-Kreis,15.993814,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06533_Limburg-Weilburg,16.159416,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06534_Marburg-Biedenkopf,16.554026,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06535_Vogelsbergkreis,16.446018,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06611_06633_03159_Region_um_Kassel,16.174892,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06611_Kassel,16.66483,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06631_Fulda,16.215246,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06632_Hersfeld-Rotenburg,17.068762,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06633_Kassel,16.52738,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06634_Schwalm-Eder-Kreis,17.1518,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06635_Waldeck-Frankenberg,16.230036,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,06636_Werra-Meißner-Kreis,16.764946,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,07111_07137_07141_07143_Region_um_Koblenz,15.93777,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,07111_Koblenz,16.581104,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,07131_Ahrweiler,15.809114,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,07132_Altenkirchen (Westerwald),15.115445,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,07133_Bad Kreuznach,17.186708,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,07134_Birkenfeld,16.148504,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,07135_Cochem-Zell,15.745251,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,07137_Mayen-Koblenz,16.239536,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,07138_Neuwied,15.978254,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,07140_Rhein-Hunsrück-Kreis,16.007135,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,07141_Rhein-Lahn-Kreis,16.183216,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,07143_Westerwaldkreis,15.42422,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,07211_07235_Region_um_Trier,15.901218,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,07211_Trier,16.130846,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,07231_Bernkastel-Wittlich,15.532545,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,07232_Eifelkreis Bitburg-Prüm,14.746594,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,07233_Vulkaneifel,14.740249,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,07235_Trier-Saarburg,15.875269,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,07311_07318_07314_07338_08222_Region_um_Frankenthal_(Pfalz),18.185413,DSf,year,dry_spell_frequency,,7
nan_GERICS_nan_nan_nan_nan_year_DSf,07311_Frankenthal (Pfalz),18.9118,DSf,year,dry_spell_frequency,,7
